BeverageName,Category,ABV,Description
Furious Beer,1,6,"Like Hops? You'll like this fire-hued beer. This is the beer I have always dreamed of making. This is the beer that would come to mind while spending the last two years tearing down walls, hanging sheetrock, moving kegs, power washing the ceilings, arguing with various agencies, and cutting the water main. 

Without Golden Promise malt, made by family-owned Simpsons Malt, Furious would just be pissed off-ed. From Scotland, this malt is still produced in the tradition of turning over the barley by hand, resulting in a malt that is unsurpassed in its quality. Golden Promise is also used extensively by premium whisky distilleries such as The Macallan. This malt provides the backbone for the intense hop character. Four American hop varieties are used at a rate of over three pounds per barrel. The result is a rich malt sweetness infused with bright hop flavor and aroma from beginning to end. Oh yeah, it's about 6% alcohol and around 100 IBUs."
Bender Beer,1,5.1,"This beer is an amalgamation of styles; brown/porter/apa. Five distinct malts, including two from Belgium, give this beer added complexity and depth. We also add oatmeal to this beer to give it a smooth texture not usually associated with this type of beer. We add large amounts of American finishing hops to give Bender a citrus hop aroma because... we like hops. This is a session beer weighing in around 5% alcohol and 25 IBUs. Grab one today, we think you will want another!"
Oak Aged Ebenezer,1,9.4,
Killer Penguin,1,10,
Oatmeal Stout,1,0,
Isolation Ale,1,6,"Ever been in a warm, cozy cabin and had a secret desire to get snowed in? To celebrate the winter season, we offer our Isolation Ale - a traditional winter brew made with premium malts imported from England. It's just one of the reasons Isolation Ale stands alone."
Festive Ale 2007,1,0,
Bourbon County Stout 2007,1,13,
Twelve Days,1,5.5,
Seriously Bad Elf,1,9,
Big Shot Seasonal Ale,1,0,
God Jul - Winter Ale,1,8.5,"A dark ale brewed specially for the Christmas season, with a rich, complex taste of caramel. This is a strong, dark and rather sweet Christmas Beer â€“ just the way we think a Christmas beer should be."
Harvest Ale 2007,1,6.7,
Nut Cracker Ale,1,5.9,"Nutcracker Ale is Boulevardâ€™s holiday gift for real beer lovers. This hearty, warming brew is a classic winter ale, deep amber in color, with hints of molasses balanced by the â€œspicinessâ€ of freshly harvested Chinook hops."
Goosinator Smoked Doppelbock 2007,1,0,
Snow Bound Winter Ale,1,8.6,
Warrior IPA,1,6.6,
Petrus Oud Bruin,1,5.5,
Petrus Gouden Tripel Ale,1,7.5,
Petrus Blond Ale,1,6.6,
Petrus Dubbel Bruin Ale,1,6.5,
Petrus Speciale,1,5.5,
Weizengold Hefefein,1,5.1,"Stiegl Weizengold. It has 12o original gravity; the choicest ingredients and a top fermentation process are responsible for the highest possible quality and an unmistakable flavor. It is brewed according to the classic wheat beer recipe: 60 % wheat malt and 40 % barley malt, top fermentation and in compliance with the Purity Law of 1516.  This fine yeast wheat beer specialty is a refreshing, natural and stimulating beer brand."
Never Summer Ale,1,5.94,
Modern Monks Belgian Blonde,1,0,
Grand Cru,1,0,
JÃ¶rger WeiÃŸe Hell,1,0,
OSB Premium Ale,1,4.5,
Morocco Ale,1,5.5,
Glacier Ale,1,0,
Bent Nail IPA,1,0,
Espresso Porter,1,0,
Harvest Ale,1,0,
Stillwater Rye,1,0,
Sharptail Pale Ale,1,0,
Fat Belly Amber,1,0,
Whitetail Wheat,1,0,
Sandbagger Gold,1,0,
Brunette Nut Brown Ale,1,0,
Irish Red,1,0,
Belgian Wit,1,0,
EOS Hefeweizen,1,0,
India Pale Ale,1,0,
Winter Ale,1,6.3,
Pride & Joy Mild Ale,1,0,
Robert the Bruce Scottish Ale,1,7,"A big malty body from chocolate and roasted malts, well balanced with just the right combination of hops. Robust yet smooth, a true malt-lover's delight."
Lump of Coal Dark Holiday Stout,1,8,
Warm Welcome Nut Browned Ale,1,6,
Pendle Witches Brew,1,5.1,
Carnegie Stark-Porter,1,5.5,
Harvest Ale 2002,1,11.5,
Woody Organic IPA,1,6.2,
Adriaan,1,5,
Leute Bok Bier,1,7.5,
La Folie Falling Rock,1,6,
Oak Aged IPA,1,6,
Tikka Gold,1,5,
La Divine Double Blond,1,7.5,
La Divine Tripel Amber,1,9,
Ename Tripel,1,8.5,
Triple Dipsea Belgian,1,9.2,
Oktoberfest Weizen,1,5.7,
Imperial Hefeweizen,1,7.5,
Triple Exultation Old Ale,1,9.7,
Organic Gingerbread Ale,1,6.8,
Falcon Pale Ale,1,0,
Buzzsaw Brown,1,4.8,"By 1915, Bend, Oregon, was alive with the sound of the buzz saw, as two of the country's largest pine sawmills set up shop on the banks of the Deschutes River.  The mills are  gone now, but the smokestacks still stand testament to Bend's humble beginnings. 

Buzzsaw Brown is an easy-drinking beer that is refreshing after a hard dayâ€™s work. The timber mills in Bend may be closed, but whether your adventure includes a day of scaling rock faces, hitting 18 holes or skiing the slopes in spring, Buzzsaw Brown is the perfect end to a fun-filled day.

â€œBuzzsaw Brown is one of my favorite beers,â€ says Deschutes Brewery Brewmaster Larry Sidor. â€œThe unique combination of European and American malts makes it a very food friendly beer that pairs well with a wide variety of flavors.â€"
Eisenbahn South American Pale Ale (S.A.P.A.),1,0,
Geist Bock,1,6.1,"This is one of our rare lagers brewed in the style of the German Heiliges Geist Bock, or Holy Ghost Bock. The name refers to the lighter nature of the beer as opposed to the darker and heavier Doppel Bock and Mai Bock also brewed during the spring in Germany. There is a rich malt flavor, a firm German style lager head, and a clean lagered finish to this beer.  Available on draft or in 12 oz. bottles."
Troll Porter,1,0,
Dark Ale,1,4.5,"A dark brew full of promise. Coopers Dark Ale is a journey in taste, starting fresh and creamy, and finishing with a lingering coffee flavour. 

Conditioned and naturally brewed using the top fermentation method, Coopers 'Dark' is made using roasted and chocolate malts, giving it a rich dark colour and unique flavour. 

Coopers Dark Ale has no additives and no preservatives."
Cinder Cone Red,1,5.4,"Cinder Cone Red's diverse selection of hops and barley captivates thirsty palates with its toffee-like flavor, intense citrus aroma and defined bitterness.

Located on the northern slope of Mt. Bachelor, the Cinder Cone was also known as \Red Hill\"" due to its reddish color that is revealed as the seasons change"
LTD 02 Lager,1,6.4,
Saison Vielle Provision,1,6.5,
Organic Barley Wine Ale 2005,1,9.5,
Old Boardhead 2006,1,9,
Blue Dot Double India Pale Ale,1,7,
Nugget,1,0,
American Pale Ale,1,0,
471 Extra ESB,1,7.8,
Odell Red Ale,1,6.5,"The Rocky Mountain Goat is no ordinary goat. Just like Odell Red is no ordinary red. 

We took the American-style red to a whole new level by adding a variety of aggressive American hopsâ€”giving this ale a distinctive fresh hop aroma and flavor. 

We think you'll agree this red has some serious kick."
Long Leg English Fuggles Hop Ale,1,0,
Summer Lightning,1,5,
Haymaker Extra Pale Ale,1,0,
Pale Ale,1,0,
Silk Lady,1,4.4,
Danger Ale,1,5.2,
Irish Style Ale,1,5.2,
Yeti Special Export,1,7,
Steelie Brown Ale,1,0,
Bond Street 19th Anniversary,1,8.7,
Trumpeter,1,0,
Nitro Porter,1,0,
Fourteen,1,9.46,
Old Stock Ale 2007,1,11.7,
Cold Hop,1,6.5,
Hitachino Nest Espresso Stout,1,7.5,
Witte,1,5,
Slaapmutske Triple Nightcap,1,8.1,
Biere de Mars,1,7,A sustaining beer that is brewed to comfort in the gusty ides of March and welcome in a wealth of warmer weather.
Kerst Pater Special Christmas Beer,1,9,
Zoetzuur Flemish Ale,1,7,
WPA (Wheat Pale Ale),1,0,
Smoked Hefe,1,0,
The Unforgiven Amber Ale,1,5.8,
Strange Ghost,1,8,
Duke IPA,1,5.1,
Broad Axe Stout,1,5,
Northern Light Lager,1,4.4,
Podge Belgian Imperial Stout,1,10.5,
Okocim Porter,1,8.3,
1809,1,5,
Pannepot,1,10,
Samurai,1,5.1,"Looking for something a little different? Brewed with rice and barley malts, Samurai is an easy drinking, unfiltered ale that changes the status quo for unfiltered beers. The addition of rice gives Samurai a slightly fruity, crisp, refreshing and clean taste. This is definitely not your everyday unfiltered beer."
Crystal Ale,1,0,
Gavroche French Red Ale,1,8.5,
Coney Island Lager,1,0,
La BiÃ¨re des Collines van de Saisis,1,0,
Dark Beer / StiftsbrÃ¤u,1,0,
LuciÃ©rnaga,1,6.5,"An artisan pale ale brewed in the Grand Cru tradition. Enjoy its golden effervescence and gentle hop aroma. Coriander and Grains of Paradise round out the spicy palate, melting o so softly into a silken finish of hoppiness and bliss! Make any season a celebration!"
CuvÃ©e des Champions 2003-2004,1,0,
Beer Geek Breakfast,1,7.5,"Breakfast is the most important meal of the day, many say, and if you are a beer geek there is no better way to start the day than with a powerful, complex morning stout. The unique mix of oats and coffee gives this beer large body and power, while the coffee, at the same time, creates a nice balance."
Flemish Primitive Wild Ale (Spoon Whacker),1,9,
Bock,1,5.5,
Double India Pale Ale,1,8.6,
Old Bawdy 2006,1,10,
Extra Strong Vintage Ale,1,7.5,"If fine wine were beer it would no doubt be Coopers Extra Strong Vintage Ale. This strong ale imparts rich full flavours that are suitable for maturation. Brewed with choice malts and an extended top fermentation, Coopers Extra Strong Vintage Ale will improve with age, becoming more interesting and complex in flavour for up to 18 months. The results are well worth the wait!"
Certified Organic India Pale Ale,1,7,
Certified Organic Porter,1,5.5,
Certified Organic Extra Pale Ale,1,0,
Certified Organic Amber Ale,1,4.8,"Eel River Brewing Company, brewers of California's first Certified Organic Ale, proudly brings you our Organic Amber Ale. Unique in flavor and purity, this medium bodied beer has a hoppy bouquet and a distinctive rich taste with a caramel-like sweetness that is balanced with a liberal dose of certified organic Pacific Gems and Hallertau hops, imported from New Zealand. Pure taste, pure ingredients, pure good."
Farm House Ale,1,6.7,
Beer Town Brown,1,0,
Tanners Jack,1,4.4,
Mephistopheles Stout,1,16.03,
NÃ¸gne Ã˜ Brown Ale,1,4.5,"A dark brown English ale, in which classic English malts meet the spicy hoppiness of the new world.  Recommended serving temperature 8Â°C/45Â°F. Goes very well with â€˜pub grub.â€™"
Vertical Epic 07.07.07,1,8.4,
Ringwood Brewery Old Thumper Extra Special Ale,1,0,
Export Ale,1,5.1,
Bourbon Barrel Porter,1,9.1,
Old Guardian Barley Wine 2007,1,11.26,
White Christmas,1,6.5,
Winter,1,10.5,
Undercover Investigation Shut-Down Ale,1,9.28,
Harvest Ale 2006,1,11.6,
Classic Gueuze,1,0,
Gueuze-Lambic,1,6.5,
Schwarzbier / Dunkel,1,4.9,
Sawtooth Ale,1,0,
Pole Star Pilsner,1,0,
90 Shilling,1,5.3,"We introduced 90 Shilling, our flagship beer, at our opening party in 1989. For a while, we'd been wondering - what would happen if we lightened up the traditional Scottish ale? The result is an irresistibly smooth and delicious medium-bodied amber ale. The name 90 Shilling comes from the Scottish method of taxing beer. Only the highest quality beers were taxed 90 Shillings. A shilling was a British coin used from 1549 to 1982. We think you'll find this original ale brilliantly refreshing, and worth every shilling."
Sunshine Wheat,1,4.8,"SUNSHINE WHEAT is a great beer for trouncing thirst.  Yet, it has a depth of character that inspires a quiet momentâ€™s reflection. Sunshine Wheat swirls in the mouth with ripples of coriander and orange peel tartness, settling nicely into a tranquil sea of apple and honey tones.  A filtered wheat beer, Sunshine offers a crisp, refreshing alternative to heavier-bodied heffe-weizens."
Grand Cru,1,9.5,
Der Weisse Bock,1,8.5,
Stouterik / The Brussels Stout,1,0,
Black Jack Porter,1,0,
Lunar Ale,1,5.1,"Our first new year-round brand launch since 1996, Lunar Ale is in a category all its own. Brewed using a unique aromatic yeast, this refreshing variety is best described as a cloudy brown ale with a complex, malty aroma and flavor, and a crisp, dry finish."
Denver Pale Ale / DPA,1,5.4,"Historically Great Divideâ€™s flagship beer, DPAâ€™s record speaks for itself. By continually garnering national and international recognition, DPA has risen to become one of the most award-winning English-style pale ales in the world.

Sporting a brilliant copper hue and an assertive floral hop aroma, DPA is known for its smooth, malty middle, which is expertly complemented with hearty and complex hop flavor. DPAâ€™s extraordinary hop finish is marked by crisp yet moderate hop bitterness. Its well-balanced profile makes DPA the perfect beer to accompany a hearty mountain picnic or a night on the town. For those who seek beers characterized by excitement, flavor and distinction, Denver Pale Ale is the natural choice."
Grotten Flemish Ale,1,7.7,
Grand Cru,1,9,
Summer Common,1,0,
Golden Ale,1,4.7,
Ambree,1,9,
Pater 6,1,6.7,"This name became a reference. This beer is mostly pointed out with its product name: â€œa Paterkeâ€. 

This â€œPaterkeâ€ is a chestnut coloured dark beer with a high fermentation (6.7 alcohol content) and a full taste."
Blanche de Namur,1,4.5,
Skinny Dip,1,4.2,"Ever tried a Skinny Dip? You wouldn't be alone. Featured by both Men's Journal and the Today Show as a favorite summer brew, this full-bodied, highly drinkable beer makes a splash every summer in our Seasonal line-up. Cascade hops frolic with a hint of lime leaf, giving the beer complexity that's surprisingly refreshing."
Blanche Double,1,6,
Summer Bright Ale,1,0,
Mothership Wit,1,4.8,"Our first venture into organically-produced beer, Mothership Wit Organic Wheat Beer elevates the zesty Wit or White beers of Belgium. Our far-flung Beer Rangers affectionately refer to our Fort Collins brewery as the Mothership, a name that conjures images of earth shot from space and the interconnectivity of it all. Mothership Wit is brewed with wheat and barley malt, as well as coriander and orange peel spicing resulting in a balance of citrus and sour flavors held in suspension by a bright burst of carbonation."
Lia Fail Stone of Destiny Ale,1,4.7,
Premium XB Bluebird Bitter,1,4.4,
IPA,1,5.5,
Houblon,1,9,
Double Pilsner,1,8.1,
Creamy Dark,1,4.9,
Premium Pils Edelherb,1,4.9,
StÃ¼venbrÃ¤u Maibock,1,0,
Jack of Spades Schwarzbier,1,3.9,
Shiner Hefeweizen,1,5.4,
Sapporo Premium Beer,1,0,
Dark German Lager,1,0,
Spring Heat Spiced Wheat,1,5.2,
Gose,1,4.6,
Pils,1,5,
New,1,4.6,
Eisenbahn Defumada,1,0,
Eisenbahn Escura,1,0,
Eisenbahn Dourada,1,0,
Fallen Angel Sweet Stout,1,0,
Hot Shot ESB,1,5,"HotShot ESB is an easy-drinking and remarkably smooth Extra Special Bitter, brewed in the classic-English style. More assertively hopped than ordinary bitters, light copper-colored HotShot showcases clean hop flavors, balanced by its slightly fruity nose and light-caramel malt character.

While HotShot is one of Great Divideâ€™s easiest-drinking and lower alcohol beers, its complex flavor profile makes it the perfect session beer for craft beer lovers."
Porter,1,8,
NÃ¸gne Ã˜ Imperial Stout,1,9,"We think the russian tsar would have liked his stout this way. A dark, rich ale in which a generous sweetness with roasted malt bitterness.  Serving temp.10Â°C/50Â°F. Great with vanilla ice cream or dark chocolate."
NÃ¸gne Ã˜ Porter,1,7,"In this quite dark ale, dark malts provide flavors of coffee and dried fruit. Recommended serving temperature 10Â°C/50Â°F.  Try with dark chocolate, cheese, or red meat dishes."
NÃ¸gne Ã˜ Pale Ale,1,6,A refreshing light and hoppy ale. Probably our best allrounder.  Recommended serving temperature 8Â°C/45Â°F.  Ideal with barbequed or smoked meat dishes.
Eccentric Belgian Wheat,1,0,
Oatmeal Stout,1,0,
Amber Light,1,0,
New World Wheat,1,0,
Maibock,1,0,
Ironwood Dark,1,0,
Cascade Amber,1,0,
Alpine Gold,1,0,
Illuminator Doppelbock,1,6.8,
Old Princeton Landing IPA,1,6.1,
Paddle Out Stout,1,5.2,
Pillar Point Pale Ale,1,4.6,
Sandy Beach Blonde Hefeweizen,1,4.5,
Mavericks Amber Ale,1,4.8,
Harbor Light Ale,1,4.8,
Leroy Barleywine,1,0,
Oatmeal Stout,1,6,
Amber,1,5,
Blur IPA,1,0,
Pelican Pale,1,5,
Brew Ribbon,1,0,
Casey Jones Imperial IPA,1,7.25,
Fairfax Coffee Porter,1,5.5,
Epiphany Ale,1,5.5,
IPA,1,6,
Chazz Cat Rye,1,4.5,
Shining Star Pale Ale,1,5,
Honey Bunny Blonde Ale,1,5.8,
Kent Lake Kolsch,1,4,
Old Blarney Barleywine,1,10,
Irish Dry Stout,1,4.8,
Kilt Lifter Scottish Ale,1,8,
India Pale Ale,1,6.5,
Blonde Bock,1,7,
Schwarzbier,1,4.3,
Czech Lager,1,0,
Yule Tide,1,10,"The latest addition to Baltimore's own Clipper City Brewing Company - Mutiny Fleet is their holiday brew Yule Tide, a Belgian style triple ale, which like the rest of the Mutiny Fleet is distributed in 22 ounce bombers."
Pilsner,1,5.3,
Warka Strong,1,7,European Strong Lager
Porter,1,0,
ESB,1,0,
Pale Ale,1,0,
Kristall Weizen,1,0,
ESB (Extra Special Blizzard),1,6,
Paint the Town Red,1,0,
Golden Ale,1,0,
Train Wreck IPA,1,0,
Zone 7 Porter,1,3.8,
Pleasanton Pale,1,5.3,
Island Wheat,1,0,
Hefeweizen,1,5.6,
Red Ale,1,0,
Penalty Shot Porter,1,5.8,
India Pale Ale,1,7.5,
Grid Iron Amber Ale,1,5.6,
Boys of Summer Wheat,1,3.5,
Pale Ale,1,0,
Red Ale,1,0,
Hefeweizen,1,0,
Bitter,1,0,
Double IPA,1,0,
Tatonka Stout,1,8.5,
P.M. Porter,1,6.4,
Jeremiah Red,1,7.3,
Piranha Pale Ale,1,5.7,
Harvest Hefeweizen,1,4.9,
Brewhouse Blonde,1,4.7,
Nutty Brewnette,1,5.9,
India Pale Ale (IPA),1,0,
Belgian Tripel,1,0,
Belgian Abbey,1,0,
Stout,1,0,
Pale Ale,1,0,
Best Bitter,1,0,
Hefe Weizen,1,0,
Pilsner,1,0,
KÃ¶lsch,1,0,
Harvest Ale 2005 (Whisky),1,11.5,
Harvest Ale 2005 (Calvados),1,11.5,
Harvest Ale 2005 (Sherry),1,11.5,
Old Crustacean Barleywine 2006,1,11.5,
Avalanche Amber,1,5.4,
Hefe Proper Ale,1,0,
Levity Amber Ale,1,5.1,"Levity is our lighter take on the amber ale. Munich and honey malts give it a full-bodied flavor and a happy-go-lucky personality. Then we let the finishing hops shine, for a beer that's crisp instead of bitter, as many ambers are. Levity was named by our brewers partly for its light color - and partly for the way it just refuses to take itself too seriously. Hey, we could all use a little levity once in a while."
Easy Street Wheat,1,4.6,"Light and refreshing, Easy Street Wheat is an unfiltered American-style wheat beer. Leaving in the yeast gives the beer a nice, smooth finish and a slightly citrusy flavor. Easy Street Wheat gets its name by brewers \taking it easy\"" and not filtering the beer. However"
Boulevard Pale Ale,1,5.4,"Boulevard Pale Ale is a smooth, fruity, well-balanced beer with year-round appeal. A variety of caramel malts impart a rich flavor and amber color, while liberal use of whole hops adds zest and aroma. Pale Ale is the first beer we brewed, and continues to be a perennial favorite."
Bully! Porter,1,5.4,"The intense flavors of dark-roasted malt in Boulevardâ€™s rendition of the classic English porter are perfectly balanced by a generous and complex hop character. Bully! Porterâ€™s robust nature makes it the ideal companion to a variety of foods, from seafood to chocolate."
Bovine Belgian Winter Ale,1,0,
XX Black Angus Stout,1,0,
Blarney Stone Stout,1,0,
Bison Brown Ale,1,0,
Prairie Pale,1,0,
Wildcat Wheat,1,0,
Boulevard Dry Stout,1,4.9,"Velvety black and perfectly opaque, our bottled Dry Stout is the somewhat livelier companion to our popular draught version of this enduring style. This surprisingly smooth, drinkable beer is a delightful harmony of smoky roasted flavors and tangy, coffee-like notes."
Planet Porter / Boulder Porter,1,5.5,
Amber,1,8,
Blanche des Moines,1,4.5,
Triple Moine,1,7.2,
Arabier,1,9,"An arabier is a pure malt beer 8Â°vol/alc brewed with flower Nugget-hops from Poperinge. It has the special dry-hopping taste and aroma, so appreciated by beer lovers all over the world. It is one of the two main beers from De Dolle Brouwers throughout the year. Aging time is limited due to the fact that hop bitterness is declining with the time. Store arabier cool and dark and serve cool at 10Â°C. Cheers!"
Bos Keun,1,8.9,
Grand Cru,1,10.5,
Oerbier,1,7.5,
Dulle Teve / Mad Bitch,1,10,
Vuuve,1,0,
Gouden Carolus Tripel,1,9,
Gouden Carolus Ambrio 1471,1,8,
Pauwel Kwak,1,8,"LOOK:
Kwak is recognisable by its deep bright amber colour and a dense, creamy coloured head. The pale wood of the glass holder makes a pleasant contrast with the beer.

SMELL:
You will smell a mellow, fruity and malty aroma with a slightly spicy character (coriander, hops). Additional earthy and very subtle aromas of banana and perhaps also a whiff of pineapple or mango in the background.

TASTE:
Discover a very mellow, fruity attack, a nougat-like solidity, and a slightly spicy character with hints of liquorice passing into a warm finish that reminds you of caramelised banana. The bitterness always remains in the background but in the end emerges delicately."
Delirium NoÃ«l,1,10,
Rochefort 10,1,11.3,"Reddish-brown colour, with a very compact head and an aroma of figs, feels like honey in the mouth. The alcohol profile is a major component in the flavour of this rich ale. It is very similar to 6 and 8, but has much more of everything. Some may find the high alcohol content to be disagreeable."
McChouffe,1,8.5,"Description : Dark Ale, strong, spicy, lightly hoppy, with evoluting taste. Natural Beer, bottle refermented, unfiltered, not pasteurised and without any additives

Alcohol : 8,5% alc./vol.

Original gravity : 16 Â°Plato

Storage : Store the bottles vertically in a cold place, sheltered from light. The yeast deposit can either be drunk or left according to taste

Serve at : 8 to 12Â°C (botlle)"
471 Double IPA,1,9.2,
La Chouffe Golden Ale,1,8,
Saison Voisin,1,5,
Olde Expensive Ale,1,0,
Quadrupel,1,10,
Tripel,1,8,
Dubbel,1,7,
Old Growler,1,6.5,
Urthel Vlaemse Bock,1,7.5,
Watou Tripel,1,7.5,The flavour of this beer is pleasantly soft and is characterized by a delicate bitterness where the balance between malt and hop is based upon a fruity orange taste with a straight fresh after taste (7.5% alcohol content)
Matilda,1,7,
Old Engine Oil Special Reserve (aged in malt whisky casks),1,8,
Imperial Stout,1,7.1,
EKU 28,1,11,
Eisbock,1,9.2,
Doppelbock Dunkel,1,8.5,"DoppelBock Dunkel has a pleasant full and creamy body, with a cofeeish aroma. Nicely warming with toffeelike malty sweetness, balanced by a hoppy-bitterness in the finish."
Special London Ale,1,6.4,
Oatmeal Stout,1,5.2,
Super,1,8,
Wayan,1,5.6,
GABF 25th Year Beer,1,0,
Old Foghorn 2006,1,9.4,
Grand Cru 2006,1,10,
Cerveza Negra,1,6.5,
Cerveza Diablo,1,7.5,
Cerveza Roja,1,6,
Buffalo Belgian Stout,1,9,
Rader AmbrÃ©e,1,0,
Rader Blonde,1,6.5,
Toleration,1,4.4,
English Ale,1,0,
Ripon Jewel Ale,1,5.8,
XTra,1,4.5,
Bam BiÃ¨re,1,4.5,"An artisan farmhouse ale that is golden, naturally cloudy, bottle conditioned and dry hopped for a perfectly refreshing balance of spicy malts, hops and yeast."
Samichlaus Bier 2005,1,14,
Barleywine,1,10,"Our American-style Barleywine undergoes a three hour boil to intensify the caramel malts and the enormous Pacific Northwest hop charge. The result is a rich, estery brew with toffee notes and citrus hop flavors layered throughout. Enjoy this brew fresh today or lay it down for aging to see how the flavors of each vintage evolve."
Old Godfather,1,10.2,
Aventinus Weizen-Eisbock,1,12,
Aventinus Weizenstarkbier / Doppel Weizen Bock,1,8.2,"Dark-ruby, almost black-colored and streaked with fine top-fermenting yeast, this beer has a compact and persistent head. This is a very intense wheat doppelbock with a complex spicy chocolate-like arome with a hint of banana and raisins. On the palate, you experience a soft touch and on the tongue it is very rich and complex, though fresh with a hint of caramel. It finishes in a rich soft and lightly bitter impression."
New Belgium Trippel Belgian Style Ale,1,8.5,"Our Trippel Belgian Style Ale (pronounced triple) opens with a bold blast of hops that slowly gives way to the fruity esters implied by our Belgian yeast strain. The Three Graces hand-painted on the label are Zeusâ€™s daughters Aglaia (splendor), Euphrosyne (mirth) and Thalia (good cheer). In the Belgian tradition of brewing singles, doubles and triples, Trippel is the strongest with the longest fermentation. Remarkably smooth and complex, our bottle-conditioned Trippel is spiced with a trace of coriander."
Hennepin Farmhouse Ale,1,7.7,
Abbey Belgian Style Ale,1,7,"Winner of four World Beer Cup medals and eight medals at the Great American Beer Fest, Abbey Belgian Ale is the Mark Spitz of New Belgiumâ€™s lineup - but it didnâ€™t start out that way. When Jeff and Kim first sampled the beer at the Lyons Folks Fest, reviews were mixed at best. One of founder Jeffâ€™s first two Belgian style homebrews (along with Fat Tire), Abbey is a Belgian dubbel (or double) brewed with six different malts and an authentic Belgian yeast strain. Abbey is bottle-conditioned, weighs in at 7.0% alcohol by volume, and pairs well with chocolate (or boldly served by itself) for dessert."
India Pale Ale,1,6.8,
Bigfoot 2006,1,9.6,
Iron Fist Pale Ale,1,0,An amber pale ale dry hopped with a blend of American hops.
Demolition,1,8,
Oro de Calabaza,1,8,Brewed in the Franco-Belgian tradition of strong golden ales.  Spicy and peppery with a gentle hop bouquet and the beguiling influence of wild yeast.
La Roja,1,7.2,"An artisan amber ale brewed in the Flanders tradition.  Deep amber with earthy caramel, spice, and sour fruit notes developed through natural barrel aging.  Unfiltered, unpasteurized and blended from barrels ranging in age from two to ten months."
